,0
4,3.386428588550969e-06
7,9.682638592882406e-06
8,4.780851509785111e-06
10,4.070059731461795e-06
13,1.1796847070794904e-05
16,9.86646844862809e-06
17,9.70209688165809e-06
18,8.492488778559286e-06
19,1.0401971330172567e-05
20,1.1390028616381767e-05
21,1.7585126653509832e-05
22,1.5407079953313657e-05
24,1.1498022189115963e-05
25,2.1480453455432696e-05
26,2.5760343167435827e-05
29,1.9259630403039957e-05
33,3.14181806331333e-05
37,9.495886160141023e-06
38,2.0838456015784727e-05
45,1.998147727566506e-05
48,8.017632482800808e-06
50,1.6229120198182763e-05
54,2.67308106414094e-05
93,4.773745782931481e-05
100,4.7727149097804224e-05
101,4.73883718917723e-05
