,0
3,4.07545887240472e-06
4,3.386428588550969e-06
5,5.018213111402488e-06
6,4.421337774499839e-06
7,5.9340923733370054e-06
8,2.7404626974380744e-06
9,8.089662274724963e-06
10,1.0564124301216305e-05
11,6.29814741321963e-06
12,1.170255975387462e-05
13,7.807941760907793e-06
14,1.8072171028730114e-05
15,6.877869027140754e-06
17,1.0058357504644314e-05
18,2.567707794881022e-05
19,2.2234230796934076e-05
20,1.2040350823896502e-05
21,8.681519244522623e-06
22,1.570127557184642e-05
23,2.9857561069023055e-05
24,2.0946717452393216e-05
26,1.8547932545363152e-05
27,9.423687315918392e-06
28,1.6644084598447597e-05
29,1.7283735764033047e-05
31,1.6363756295642458e-05
32,1.2447208677800594e-05
33,2.8552966316576588e-05
34,2.22490919033238e-05
35,1.8952183429011486e-05
36,3.4257611422642524e-05
37,1.1142116183905002e-05
38,2.1460468867406354e-05
40,2.2013952743557503e-05
42,1.4217123082433656e-05
44,1.503935163958422e-05
45,1.1277269308613052e-05
46,1.836515402192753e-05
47,3.494357720370417e-05
49,4.365560081269413e-05
51,1.666985763624539e-05
55,2.7847729326132788e-05
58,3.9411295942420126e-05
60,2.2936048333976275e-05
61,3.2670997687044976e-05
64,2.2199417199620566e-05
66,4.208782264368265e-05
67,2.7224954416238765e-05
70,1.5899677851025993e-05
80,2.8445476232263714e-05
83,4.041688727185061e-05
84,5.251551896471594e-05
92,1.699641727006043e-05
97,4.196147115097263e-05
103,5.401151208044066e-05
107,4.479946063593883e-05
111,4.7483526564828896e-05
115,3.380626215980248e-05
116,5.73117814470062e-05
133,3.7267724819290776e-05
142,5.13437572760514e-05
148,0.0001261905118823348
156,4.632728779207575e-05
163,0.21183691842220526
176,4.668959632326059e-05
203,3.642723260022757e-05
214,4.392396975834177e-05
258,0.028708539664563458
264,0.00010156974237935125
269,0.00018512902577587205
271,0.00018333228331474157
281,5.374206130517573e-05
296,0.00014682341275535285
326,4.682369379043045e-05
559,0.00017917300187811423
560,0.0002995075132064958
643,0.00017608870973777267
724,0.00021196830200104663
1120,0.00032643225046116844
1412,0.000299127560872649
1900,0.0005593028326685009
