,0
4,7.85510037963773e-06
7,1.206313194339134e-05
8,6.363253762592729e-06
10,5.3947966093944364e-06
13,1.8915589216838085e-05
16,2.111997577171923e-05
17,1.913909225176591e-05
18,1.3687341677068531e-05
19,1.666419893487423e-05
20,3.259278772443744e-05
21,2.8572280082509326e-05
22,2.2781890697422133e-05
24,3.0758767986157774e-05
25,3.133113841743512e-05
26,6.756037111521896e-05
29,3.9147742956000794e-05
33,5.07979423499814e-05
37,5.317722124109582e-05
38,3.0755072587198445e-05
45,4.3164432439896285e-05
48,1.52587890625e-05
50,4.973756717770677e-05
54,5.63233301553093e-05
93,0.00018488496118244376
100,0.00019163139087912596
101,0.00019159341861096912
