,0
3,7.85510037963773e-06
4,7.85510037963773e-06
5,1.1224106304695096e-05
6,9.322346799213302e-06
7,1.0540059170401847e-05
8,7.85510037963773e-06
9,1.3526344314048216e-05
10,1.5771537887493635e-05
11,1.8004322357917526e-05
12,2.012358692390452e-05
13,1.575717386949487e-05
14,3.2812746160880916e-05
15,2.2676346932270873e-05
17,2.3070211989814796e-05
18,5.01842444814177e-05
19,5.436007805579785e-05
20,2.75081731830469e-05
21,1.907738916331125e-05
22,4.164234362336968e-05
23,5.63233301553093e-05
24,5.63357635636631e-05
26,7.240090400349788e-05
27,3.078059894000522e-05
28,2.7151112843636177e-05
29,4.469863672441393e-05
31,4.018037340838839e-05
32,6.484985351444836e-05
33,6.0621558408900664e-05
34,0.00010250113534425859
35,5.2636566919716543e-05
36,5.136767394135216e-05
37,3.132738450592595e-05
38,0.0001183406605408938
40,8.031836855877664e-05
42,9.218632487052221e-05
44,7.432610132167283e-05
45,6.267270999205606e-05
46,4.009331711500132e-05
47,0.0002551573411283973
49,0.00015136104461416775
51,4.2044651236527886e-05
55,9.209571100417843e-05
58,6.815233761554391e-05
60,3.59310139436748e-05
61,6.402040569380285e-05
64,6.782992039550657e-05
66,0.0001730385463747949
67,5.2211461943368606e-05
70,5.070420524269571e-05
80,6.380777437719481e-05
83,9.354934206867403e-05
84,0.00024594041894553765
92,4.5944172249389224e-05
97,9.234404325035251e-05
103,0.0002972664840988733
107,7.258274287601039e-05
111,8.765378057882254e-05
115,6.68169856800414e-05
116,0.00013650424277701547
133,9.164611041881473e-05
142,0.00012122029248626846
148,0.00019152984676268714
156,0.00011570776936407467
163,0.5201751182654595
176,0.00013155506177784442
203,0.00010700282639838186
214,0.0001385985750804457
258,0.09246740668087006
264,0.00045629902814653563
269,0.00030214354308970477
271,0.00029280366063951256
281,0.00017118661827338004
296,0.0003475197013263617
326,9.421607235129142e-05
559,0.0015483912119890145
560,0.0007633684859358229
643,0.0010682923306379666
724,0.0006189926719783516
1120,0.0007707199099685533
1412,0.0026903380657040993
1900,0.0013335954677300321
