,0
4,1.4027024160679111e-05
7,7.629379980037914e-06
8,8.001618632540966e-06
10,7.629379979704847e-06
13,2.1128922774531352e-05
16,4.5296545162189746e-05
17,3.819944379303891e-05
18,2.094257099321838e-05
19,4.104315582885123e-05
20,6.103595661584462e-05
21,2.0969011499972163e-05
22,2.3397476416622413e-05
24,7.438805191083267e-05
25,3.351152910255265e-05
26,0.00013477213966141906
29,5.849254083395141e-05
33,0.00014009309797847054
37,0.00010574134896985184
38,4.6962351476433084e-05
45,0.00014869276180460846
48,5.966982109172847e-05
50,0.00016403886586841405
54,1.8341720580231767e-05
93,2.8045273717901514e-05
100,0.0003943988227800434
101,0.0003943989685904788
