,0
3,1.4027024160679111e-05
4,1.4027024160679111e-05
5,1.9934517139341758e-05
6,1.1329577833756937e-05
7,2.671710934412139e-05
8,1.4027024160679111e-05
9,4.450647656749736e-05
10,2.6147705267834038e-05
11,5.013281598357452e-05
12,3.31824899562309e-05
13,6.616151371199064e-05
14,1.4774098283052374e-05
15,7.203042820233711e-05
17,7.092455085434853e-05
18,3.207260249702587e-05
19,1.14751734126492e-08
20,4.5776658222473485e-05
21,5.893187426911497e-05
22,3.986189280686761e-05
23,3.560579439745104e-05
24,1.8134967479234458e-05
26,7.83520251290634e-05
27,8.131512582400488e-05
28,2.5504141350985802e-05
29,7.657449731807474e-06
31,8.150557281664422e-05
32,0.00011444326084272858
33,0.00013888503858073832
34,0.00013347666101317087
35,5.1278625491161184e-05
36,5.082668762170877e-05
37,6.021580577000427e-05
38,0.0001478878031252321
40,1.7388032421721907e-05
42,0.0001678522677701587
44,0.00016370773156347023
45,0.00014087915721128387
46,0.00011788477328464886
47,0.00023521609340499476
49,0.0002572190226617291
51,2.1957236176293017e-05
55,0.00019065433348188743
58,4.1139082355918296e-05
60,2.3723654321968166e-05
61,2.7356217273531812e-06
64,3.3659170146759225e-06
66,0.00039462218887679004
67,2.390716974134114e-05
70,3.807368743291488e-05
80,0.00010900658172414897
83,5.138463814435644e-06
84,0.0005710747442613166
92,5.511827971231703e-05
97,0.00017857163521353006
103,0.0008070423932114678
107,2.3852768035522433e-05
111,7.778611150656116e-05
115,9.813459201346002e-05
116,0.000292246069288555
133,0.00013157954513743367
142,0.00011022433817668538
148,0.0005557121892731004
156,0.00025813913041213243
163,4.621890041784083e-05
176,0.00015481550066630384
203,0.00015077245555501193
214,0.00019922763413035127
258,0.00045698184018466427
264,0.00013337723820909398
269,0.0012686276594753108
271,0.0011712564624788697
281,0.00010116666655720808
296,0.0007478324491943201
326,0.0001010707513925978
559,0.0031732572198679633
560,0.001233394395685732
643,0.0002467658215380319
724,0.00033789614028904255
1120,0.0004002428509897287
1412,0.0004721036974890728
1900,0.0004554110296733387
